nome;plesso;ordine;indirizzo;comune;email;tel;lat;lon
ARISTIDE GABELLI (Istituto Comprensivo);A.MORO SEC. 1°;Secondaria I Grado;VIA DALMAZIA, 1/A;Bari;baic84200t@istruzione.it;080/5335626;41.1200775;16.8837159
ARISTIDE GABELLI (Istituto Comprensivo);ALBERO AZZURRO;Infanzia;VIA DELLA TOLLERANZA;Bari;baic84200t@istruzione.it;805339334;41.1491964;16.7356547
ARISTIDE GABELLI (Istituto Comprensivo);ARCOBALENO;Infanzia;VIA DALMAZIA;Bari;baic84200t@istruzione.it;805332133;41.1200775;16.8837159
ARISTIDE GABELLI (Istituto Comprensivo);D. VACCA;Secondaria I Grado;VIA DELLE AZALEE, 2;Bari;baic84200t@istruzione.it;805331042;41.1588319;16.7387757
ARISTIDE GABELLI (Istituto Comprensivo);G. FALCONE;Primaria;VIA DELLE AZALEE, 9;Bari;baic84200t@istruzione.it;080/5336008;41.1588319;16.7387757
ARISTIDE GABELLI (Istituto Comprensivo);IQBAL MASIH;Primaria;PIAZZETTA ELEONORA;Bari;baic84200t@istruzione.it;080/5338785;41.1480465;16.7391791
ARISTIDE GABELLI (Istituto Comprensivo);R. BONGHI (Direzione);Primaria;VIA LUCCA;Bari;baic84200t@istruzione.it;080/5336129;41.1616457;16.7441982
ARISTIDE GABELLI (Istituto Comprensivo);TORRICELLA;Infanzia;VIA VITO ROSA, 1;Bari;baic84200t@istruzione.it;80994675;41.1452201;16.7405519
ARISTIDE GABELLI (Istituto Comprensivo);WALT DISNEY;Infanzia;VIA DELLE AZALEE, 9;Bari;baic84200t@istruzione.it;805331633;41.1588319;16.7387757
BALILLA - IMBRIANI (Istituto Comprensivo);BALILLA (Direzione);Infanzia;L.GO CARABELLESE 1 BARI;Bari;baic81400n@istruzione.it;805534737;41.1203619;16.8792696
BALILLA - IMBRIANI (Istituto Comprensivo);BALILLA (Direzione);Primaria;L.GO CARABELLESE 1 BARI;Bari;baic81400n@istruzione.it;805534737;41.1203619;16.8792696
BALILLA - IMBRIANI (Istituto Comprensivo);IMBRIANI;Secondaria I Grado;L.GO CARABELLESE 1 BARI;Bari;baic81400n@istruzione.it;805534737;41.1203619;16.8792696
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo);A. DIAZ;Infanzia;via v. veneto, 90/92;Bari;baic846005@istruzione.it;808653040;41.0625063;16.8663263
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo);A. DIAZ;Primaria;via v. veneto, 90/92;Bari;baic846005@istruzione.it;808643040;41.0625063;16.8663263
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo);CEGLIE (Direzione);Primaria;VIA DIVENERE, 21/23;Bari;baic846005@istruzione.it;808653000;;
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo);CEGLIE INFANZIA;Infanzia;VIA DIVENERE, 21/23;Bari;baic846005@istruzione.it;808653000;;
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo);MANZONI - LUCARELLI;Secondaria I Grado;VIA ANGELANTONIO QUARANTA, 10;Bari;baic846005@istruzione.it;808653020;;
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo);SANTA RITA;Infanzia;VIA DEL MONASTERO, 13;Bari;baic846005@istruzione.it;809277981;41.0695063;16.8593668
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo);SANTA RITA;Primaria;VIA DEL MONASTERO, 13;Bari;baic846005@istruzione.it;809277981;41.0695063;16.8593668
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo);2° PADIGLIONE;Infanzia;VIA NAPOLI, 271;Bari;baic81900r@istruzione.it;080/5741016;41.1478756;16.7854773
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo);CARLO LEVI SEC. 1°;Secondaria I Grado;VIA BABUDRI,  45;Bari;baic81900r@istruzione.it;080/5277628;41.1198287;16.8508749
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo);CLEM. PERONE INFANZIA;Infanzia;VIA NAZARIATZ, 5;Bari;baic81900r@istruzione.it;080/5744533;;
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo);CLEM. PERONE PRIMARIA;Primaria;VIA NAZARIATZ, 5;Bari;baic81900r@istruzione.it;080/5744533;;
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo);COLLODI (Direzione) PRIMARIA;Primaria;via brigata regina, 27;Bari;baic81900r@istruzione.it;080/5277628;41.1279053;16.8515145
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo);COLLODI INFANZIA;Infanzia;VIA BRIGATA REGINA, 27;Bari;baic81900r@istruzione.it;080/5277628;41.1279053;16.8515145
DE AMICIS - LATERZA-M.S.MICHELE (Istituto Comprensivo);GOBETTI;Infanzia;VIA GOBETTI 1;Bari;baic817005@istruzione.it;805016690;41.1969029;16.6109512
DE AMICIS - LATERZA - M.S.MICHELE (Istituto Comprensivo);DEL PRETE ;Infanzia;VIA LUIGI PINTO 1;Bari;baic817005@istruzione.it;805016690;41.1112858;16.8728285
DE AMICIS - LATERZA- M.S.MICHELE (Istituto Comprensivo);LATERZA;Secondaria I Grado;VIA ZANARDELLI 16;Bari;baic817005@istruzione.it;805016690;41.1847272;16.673565
DE AMICIS - LATERZA- M.S.MICHELE (Istituto Comprensivo);De Amicis;Primaria;VIA RE DAVID 179;Bari;baic817005@istruzione.it;805016690;41.1149924;16.8750107
MONTE S.MICHELE 26° Circolo (Istituto Comprensivo);PRIMARIA;Primaria;CORSO ALCIDE DE GASPERI 345;Bari;baic817005@istruzione.it;805016690;41.0928916;16.8690249
DE AMICIS-LATERZA-M.S.MICHELE (Istituto Comprensivo);MONTE S.MICHELE ;Infanzia;VIA DE SAMUELE CAGNAZZI 51;Bari;baic817005@istruzione.it;805016690;41.1047;16.8695291
DE AMICIS - LATERZA - M.S.MICHELE(Istituto Comprensivo);MUNGIVACCA ;Primaria;PIAZZALE PUGLIESE 1;Bari;baic817005@istruzione.it;805016690;;
I.C. DE AMICIS-LATERZA-M.S.MICHELE;Ospedale Pediatrico GIOVANNI XXIII;Primaria;VIA AMENDOLA;Bari;baic817005@istruzione.it;805016690;41.1154611;16.8802198
DE AMICIS-LATERZA-M.S.MICHELE (Istituto Comprensivo);Ospedale Pediatrico Giovanni 23;Infanzia;VIA AMENDOLA;Bari;baic817005@istruzione.it;805016690;41.1154611;16.8802198
C.P.I.A.;I.P.M. FORNELLI Primaria;Primaria;Via Giulio Petroni 90;Bari;bamm29700r@istruzione.it;080 504 1012;41.0915033;16.8659374
DE AMICIS-LATERZA-M.S.MICHELE (Istituto Comprensivo);MUNGIVACCA;Infanzia;PIAZZALE PUGLIESE 1;Bari;baic817005@istruzione.it;805016690;;
POGGIOFRANCO - T.FIORE (Istituto Comprensivo);T.FIORE;Secondaria I Grado;via M. L. King 38;Bari;baic8ab002@istruzione.it;805614931;;
POGGIOFRANCO - T.FIORE (Istituto Comprensivo);TAURO PRIMARIA;Primaria;via G. Tauro;Bari;baic8ab002@istruzione.it;805613356;40.9442511;17.1369376
POGGIOFRANCO - T.FIORE (Istituto Comprensivo);KING;Infanzia;via M. L. King 42;Bari;baic8ab002@istruzione.it;805045038;;
DON L.MILANI (Istituto Comprensivo);AZZARITA-DE FILIPPO UNGARETTI SEC. 1°;Secondaria I Grado;via Don Carlo Gnocchi, 18;Bari;baic812002@istruzione.it;805371951;41.1305511;16.7855844
DON L.MILANI (Istituto Comprensivo);DON L.MILANI (Direzione) INFANZIA;Infanzia;Viale delle Regioni n°62 ;Bari;baic812002@istruzione.it;080 537 1951;41.1229825;16.7975701
DON L.MILANI (Istituto Comprensivo);DON L.MILANI (Direzione) PRIMARIA;Primaria;Viale delle Regioni n°62 ;Bari;baic812002@istruzione.it;080 537 1951;41.1229825;16.7975701
DON L.MILANI (Istituto Comprensivo);LANAVE INFANZIA;Infanzia;Via Grazia Deledda 2;Bari;baic812002@istruzione.it;080 538 1867;39.8406621;9.6450137
DON L.MILANI (Istituto Comprensivo);NUOVO PLESSO DON L.MILANI INFANZIA;Infanzia;VIA TRENTINO 13;Bari;baic812002@istruzione.it;080 538 0556;41.051701;16.7031057
DON L.MILANI (Istituto Comprensivo);VITO DE FANO ex COMPARTO B INFANZIA;Infanzia;Via Don Gnocchi snc;Bari;baic812002@istruzione.it;080 537 9125;;
DON L.MILANI (Istituto Comprensivo);VITO DE FANO ex COMPARTO B PRIMARIA;Primaria;Via Don Gnocchi snc;Bari;baic812002@istruzione.it;080 537 9125;;
E.LOI - G.SANTOMAURO (Istituto Comprensivo);E.LOI;Infanzia;viale G. BARTOLO N.8;Bari;baic84400d@istruzione.it;805046347;;
E.LOI - G.SANTOMAURO (Istituto Comprensivo);E.LOI Primaria;Primaria;viale G. BARTOLO N.8;Bari;baic84400d@istruzione.it;805046347;;
E.LOI - G.SANTOMAURO (Istituto Comprensivo);SMM SANTOMAURO;Secondaria I Grado;VIA VASSALLO 16;Bari;baic84400d@istruzione.it;805013617;;
ELEONORA DUSE (Istituto Comprensivo);SAN GIOVANNI BOSCO;Primaria;P.ZZA REDENTORE, 185;Bari;baic816009@istruzione.it;805749164;41.1194556;16.8554567
ELEONORA DUSE (Istituto Comprensivo);SAN GIOVANNI BOSCO;Secondaria I Grado;P.ZZA REDENTORE, 185;Bari;baic816009@istruzione.it;805749164;41.1194556;16.8554567
ELEONORA DUSE (Istituto Comprensivo);SAN GIOVANNI BOSCO;Infanzia;VIA DON BOSCO, 2;Bari;baic816009@istruzione.it;805749164;41.1446356;16.4165715
ELEONORA DUSE (Istituto Comprensivo);MARCONI;Primaria;VIA SKANDERBERG, 33;Bari;baic816009@istruzione.it;8053448868;;
ELEONORA DUSE (Istituto Comprensivo);DUSE PRIMARIA;Primaria;VIA SAN GIROLAMO, 38;Bari;baic816009@istruzione.it;808652800;41.2063674;16.598428
ELEONORA DUSE (Istituto Comprensivo);E.DUSE (Direzione) INFANZIA;Infanzia;VIA SAN GIROLAMO;Bari;baic816009@istruzione.it;0808652800 - 0805347;41.2063313;16.5990386
ELEONORA DUSE (Istituto Comprensivo);E.DUSE (Direzione) SEC. 1°;Secondaria I Grado;VIA SAN GIROLAMO, 38;Bari;baic816009@istruzione.it;808652801;41.2063674;16.598428
ELEONORA DUSE (Istituto Comprensivo);E/28 INFANZIA;Infanzia;STRADA SAN GIROLAMO;Bari;baic816009@istruzione.it;808652852;41.136446;16.8190718
ELEONORA DUSE (Istituto Comprensivo);SAN GIROLAMO;Primaria;STRADA SAN GIROLAMO;Bari;baic816009@istruzione.it;808652851;41.136446;16.8190718
FALCONE BORSELLINO (Istituto Comprensivo);CHIAIA INFANZIA;Infanzia;VIALE PUGLIA,2;Bari;baic80600p@istruzione.it;805376740;41.1002457;16.8741244
FALCONE BORSELLINO (Istituto Comprensivo);CHIAIA PRIMARIA;Primaria;VIA BRINDISI, 1;Bari;baic80600p@istruzione.it;805370131;41.1214571;16.7993114
FALCONE BORSELLINO (Istituto Comprensivo);CIRIELLI PRIMARIA;Primaria;via Molise,6;Bari;baic80600p@istruzione.it;080/5376947;41.1219413;16.7959069
